task_id,task_family,model,success,expected_answer,predicted_answer,correct,location,metric_dimension,description_stub
rev_guild_hall_control_value,reverse_inference_audit,gpt54,True,mid,low,False,guild_hall,control_value,guild_hall：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_herb_cloister_integration,reverse_inference_audit,gpt54,True,low,high,False,herb_cloister,integration,herb_cloister：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_herb_cloister_mean_depth,reverse_inference_audit,gpt54,True,high,low,False,herb_cloister,mean_depth,herb_cloister：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_herb_cloister_control_value,reverse_inference_audit,gpt54,True,low,low,True,herb_cloister,control_value,herb_cloister：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_market_lane_integration,reverse_inference_audit,gpt54,True,high,high,True,market_lane,integration,market_lane：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_market_lane_mean_depth,reverse_inference_audit,gpt54,True,low,low,True,market_lane,mean_depth,market_lane：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_market_lane_control_value,reverse_inference_audit,gpt54,True,mid,low,False,market_lane,control_value,market_lane：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_north_avenue_integration,reverse_inference_audit,gpt54,True,high,high,True,north_avenue,integration,north_avenue：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_north_avenue_mean_depth,reverse_inference_audit,gpt54,True,low,low,True,north_avenue,mean_depth,north_avenue：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_north_avenue_control_value,reverse_inference_audit,gpt54,True,mid,low,False,north_avenue,control_value,north_avenue：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_plaza_center_integration,reverse_inference_audit,gpt54,True,high,high,True,plaza_center,integration,plaza_center：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_plaza_center_mean_depth,reverse_inference_audit,gpt54,True,low,high,False,plaza_center,mean_depth,plaza_center：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_plaza_center_control_value,reverse_inference_audit,gpt54,True,high,low,False,plaza_center,control_value,plaza_center：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_service_alley_integration,reverse_inference_audit,gpt54,True,low,high,False,service_alley,integration,service_alley：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_service_alley_mean_depth,reverse_inference_audit,gpt54,True,high,low,False,service_alley,mean_depth,service_alley：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_service_alley_control_value,reverse_inference_audit,gpt54,True,low,low,True,service_alley,control_value,service_alley：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_shrine_court_integration,reverse_inference_audit,gpt54,True,high,high,True,shrine_court,integration,shrine_court：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_shrine_court_mean_depth,reverse_inference_audit,gpt54,True,mid,low,False,shrine_court,mean_depth,shrine_court：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_shrine_court_control_value,reverse_inference_audit,gpt54,True,mid,low,False,shrine_court,control_value,shrine_court：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_south_avenue_integration,reverse_inference_audit,gpt54,True,high,high,True,south_avenue,integration,south_avenue：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_south_avenue_mean_depth,reverse_inference_audit,gpt54,True,mid,low,False,south_avenue,mean_depth,south_avenue：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_south_avenue_control_value,reverse_inference_audit,gpt54,True,high,low,False,south_avenue,control_value,south_avenue：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_vault_cell_integration,reverse_inference_audit,gpt54,True,low,high,False,vault_cell,integration,vault_cell：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_vault_cell_mean_depth,reverse_inference_audit,gpt54,True,high,low,False,vault_cell,mean_depth,vault_cell：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_vault_cell_control_value,reverse_inference_audit,gpt54,True,low,low,True,vault_cell,control_value,vault_cell：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_watch_gate_integration,reverse_inference_audit,gpt54,True,mid,high,False,watch_gate,integration,watch_gate：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_watch_gate_mean_depth,reverse_inference_audit,gpt54,True,high,mid,False,watch_gate,mean_depth,watch_gate：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_watch_gate_control_value,reverse_inference_audit,gpt54,True,high,low,False,watch_gate,control_value,watch_gate：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_west_arcade_integration,reverse_inference_audit,gpt54,True,high,high,True,west_arcade,integration,west_arcade：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_west_arcade_mean_depth,reverse_inference_audit,gpt54,True,mid,low,False,west_arcade,mean_depth,west_arcade：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
rev_west_arcade_control_value,reverse_inference_audit,gpt54,True,high,low,False,west_arcade,control_value,west_arcade：这里常被看作适合短暂停留和观察周围动态，整体氛围偏放松，不强调警戒或盘查。
