audit_id,image_filename,church_id,assigned_style_id,assigned_style,sample_type,all_style_ids,box_count,group_count,median_relative_area,official_labels
WC-AUD-020,Q745460_wd0.jpg,Q745460,Q46261,Romanesque,stress,Q176483|Q46261,6,5,0.012852005190980651,Ornate Portal|Pinnacle|Tabernacle|Tracery Rose Window|Trefoil|Wimperg
WC-AUD-021,Q2320318_wd0.jpg,Q2320318,Q840829,Baroque,core,Q840829,2,2,0.0063132572709331015,Balustrade|Pilaster
WC-AUD-022,Q1795397_wd0.jpg,Q1795397,Q840829,Baroque,core,Q840829,1,1,0.00954381893243736,Onion Dome
WC-AUD-023,Q999637_wd0.jpg,Q999637,Q840829,Baroque,core,Q840829,1,1,0.004520862443825461,Pilaster
WC-AUD-024,Q1502706_wd0.jpg,Q1502706,Q840829,Baroque,stress,Q840829,5,5,0.03417010090307835,Broken Pediment|Cranked Cornice|Cranked Pediment|Keystone|Volute
WC-AUD-025,Q2640697_wd0.jpg,Q2640697,Q176483,Gothic,core,Q176483,7,5,0.004028040337985895,Buttress Arch|Pinnacle|Pointed Arch Portal|Pointed Arch Window|Tracery|Tracery Rose Window|Wimperg
WC-AUD-026,Q2981_wd0.jpg,Q2981,Q176483,Gothic,core,Q176483,10,9,0.012235868413478044,Arcade Gallery|Fleuron|Gallery of Kings|Lancet Window|Ornate Portal|Pointed Arch Portal|Pointed Arch Window|Tabernacle|Tracery Rose Window|Trefoil
WC-AUD-027,Q2320951_wd0.jpg,Q2320951,Q176483,Gothic,core,Q176483,4,4,0.006651136533591692,Buttress|Pointed Arch Window|Quatrefoil|Trefoil
WC-AUD-028,Q526047_wd0.jpg,Q526047,Q46261,Romanesque,core,Q46261,10,10,0.006155771062338569,Blind Arcade|Bull's-eye Window with Sexfoil|Conical Roof|Coupled Twin Window with Discharging Arch|Dwarf Gallery|Lesene|Panel Frieze|Round Arch Window|Round Arch Window with Blind Arch|Trifora
WC-AUD-029,Q30274936_wd0.jpg,Q30274936,Q46261,Romanesque,core,Q46261,2,2,0.0021415140308826863,Round Arch Window|Window with Trefoil Arch
WC-AUD-030,Q2301521_wd0.jpg,Q2301521,Q236122,Renaissance,core,Q236122,5,5,0.025272884669079593,Broken Pediment|Cranked Cornice|Pilaster|Segmental Arch|Triangular Pediment
WC-AUD-031,Q588559_wd0.jpg,Q588559,Q236122,Renaissance,core,Q236122,3,3,0.008680138417035287,Column|Segmental Arch|Triangular Pediment
WC-AUD-032,Q2002407_wd0.jpg,Q2002407,Q46261,Romanesque,core,Q46261,5,5,0.00675896626367837,Blind Arcade|Corner Lesene|Lombard Band|Round Arch Portal|Round Arch Window
WC-AUD-033,Q2419151_wd0.jpg,Q2419151,Q176483,Gothic,core,Q176483,8,5,0.017542371640900188,Archivolted Portal|Buttress|Buttress Arch|Lancet Window|Pinnacle|Pointed Arch Window|Tracery|Wimperg
WC-AUD-034,Q15953984_wd0.jpg,Q15953984,Q176483,Gothic,stress,Q176483,8,7,0.0032586957914370832,Buttress|Crocket|Fish Bladder|Fleuron|Pinnacle|Tracery|Tracery Rose Window|Trefoil
WC-AUD-035,Q1537302_wd0.jpg,Q1537302,Q46261,Romanesque,core,Q46261,4,4,0.0017838913892406077,Blind Arcade|Bull's-eye Window|Round Arch Window|Twin Window
WC-AUD-036,Q11947200_wd0.jpg,Q11947200,Q46261,Romanesque,core,Q46261,1,1,0.0089040891681797,Round Arch Window
WC-AUD-037,Q794876_wd0.jpg,Q794876,Q236122,Renaissance,stress,Q236122,6,6,0.0114072240649031,Belt Course|Coupled Column|Pilaster|Projecting Cornice|Round Arch Niche|Segmental Pediment
WC-AUD-038,Q3581911_wd0.jpg,Q3581911,Q46261,Romanesque,core,Q46261,1,1,0.010544316120212264,Round Arch Window
WC-AUD-039,Q3580966_wd0.jpg,Q3580966,Q176483,Gothic,core,Q176483,5,3,0.057285205249916836,Buttress|Buttress Arch|Pointed Arch Portal|Tracery Rose Window|Wimperg
WC-AUD-040,Q207985_wd0.jpg,Q207985,Q176483,Gothic,core,Q176483,7,4,0.0018316686117690346,Buttress|Buttress Arch|Discharging Arch|Pinnacle|Pointed Arch Window|Sexfoil|Twin Window
WC-AUD-041,Q505065_wd0.jpg,Q505065,Q176483,Gothic,core,Q176483,9,5,0.012529326871790777,Archivolted Portal|Blind Tracery|Buttress|Buttress Arch|Fleuron|Pinnacle|Pointed Arch Window|Tracery|Wimperg
WC-AUD-042,Q2034923_wd0.jpg,Q2034923,Q46261,Romanesque,core,Q46261,5,4,0.023228875042521566,Dentil|Lesene|Ornate Portal|Round Arch|Round Arch Window
WC-AUD-043,Q206823_wd0.jpg,Q206823,Q176483,Gothic,core,Q176483,10,7,0.007278633533621713,Blind Window|Crocket|Fleuron|Gallery of Kings|Ornate Portal|Pinnacle|Quatrefoil|Tracery Rose Window|Wimperg
WC-AUD-044,Q719794_wd0.jpg,Q719794,Q236122,Renaissance,core,Q236122,5,5,0.031102773179243922,Double Pediment|Pilaster|Segmental Pediment|Triangular Pediment|Volute
WC-AUD-045,Q2315800_wd0.jpg,Q2315800,Q176483,Gothic,core,Q176483,5,3,0.04305787490561187,Buttress|Buttress Arch|Columned Portal|Pointed Arch Portal|Tracery Rose Window
WC-AUD-046,Q674472_wd0.jpg,Q674472,Q840829,Baroque,stress,Q840829,3,3,0.004997711805869772,Cranked Cornice|Cranked Pediment|Keystone
WC-AUD-047,Q3585324_wd0.jpg,Q3585324,Q236122,Renaissance,core,Q236122,4,4,0.006010663068504336,Belt Course|Broken Pediment|Pilaster|Round Arch Niche
WC-AUD-048,Q3670352_wd0.jpg,Q3670352,Q236122,Renaissance,core,Q236122,4,4,0.006047828672637706,Projecting Cornice|Round Arch Niche (with Sculpture)|Triangular Pediment|Volute
WC-AUD-049,Q106934_wd0.jpg,Q106934,Q176483,Gothic,stress,Q176483,9,9,0.006411357153316338,Blind Window|Fleuron|Gallery of Kings|Ornate Portal|Pinnacle|Pointed Arch Window|Quatrefoil|Tracery Rose Window|Trefoil Arch
WC-AUD-050,Q2713844_wd0.jpg,Q2713844,Q46261,Romanesque,core,Q46261,3,3,0.005894594707192309,Blind Arcade|Columned Portal|Lombard Band
