"core_layer","admission_status","corpus_tier","shortlist_id","system_name","system_family","paper_refs","year","agent_count","environment_side_representation","agent_accessible_representation","representation_gap_note","behavioral_scale","behavior_type","evidence_status","spatial_behavior_coupling","evaluation_method","space_syntax_construct","local_artifact_path","source_basis"
"anchor_core","stable_anchor","Core","HC12A","SimWorld: visual-GPS embodied interface","SimWorld","SimWorld2025","2025","2-10","3D_engine","L5","This split row captures the multimodal embodied interface where agents receive visual observations together with GPS-like or position-bearing information in a 3D world.","mixed","cooperation; conflict; mobility; other","designed_affordance_only","explicit","auto_metric","none","assets/survey_paper/pdfs/phase1_core/12_HC12_SimWorld.pdf","local_pdf_ocr_and_adjudication_memo"
"anchor_core","stable_anchor","Core","HC12B","SimWorld: scene-graph and abstract-layout interface","SimWorld","SimWorld2025","2025","2-10","3D_engine","L3","This split row captures the structured interface where observations are abstracted into scene graphs or layouts without requiring the agent to act on full geometry directly.","mixed","cooperation; conflict; mobility; other","designed_affordance_only","explicit","auto_metric","none","assets/survey_paper/pdfs/phase1_core/12_HC12_SimWorld.pdf","local_pdf_ocr_and_adjudication_memo"
"anchor_core","stable_anchor","Core","HC13","Large-language-model-driven agents for fire evacuation simulation in a cellular automata environment","Fire Evacuation CA","FireEvacuation2025","2025","2-10","2D_grid","L3","The backend scenario is reconstructed from LiDAR and 3D scanning, but the LLM-facing interface is a directional textual rendering of a cell-semantic 2D automaton with height, visibility, and short-term memory context rather than direct geometry.","mixed","mobility; cooperation; other","observed_effect","explicit","auto_metric","none","assets/survey_paper/pdfs/phase1_core/14_HC13_Fire_Evacuation_CA.pdf","local_pdf_pdf2text_fulltext_review"
"anchor_core","stable_anchor","Core","HC14","When agents learn to think: Large language model-enhanced agent-based modeling for crowd evacuation in disaster scenarios","Crowd Evacuation Disaster","CrowdEvacuation2026","2026","100+","graph_based","L3","The simulation uses a GIS-derived road network with road-width and speed attributes, but the agent-facing interface remains text prompts about hazard conditions, road status, memories, and nearby communications rather than direct geometry.","mixed","mobility; cooperation; other","observed_effect","explicit","mixed","none","assets/survey_paper/pdfs/phase1_core/15_HC14_Crowd_Evacuation_Disaster.pdf","local_pdf_pdf2text_fulltext_review"
"anchor_core","stable_anchor","Core","HC15","CitySim: Modeling Urban Behaviors and City Dynamics with Large-Scale LLM-Driven Agent Simulation","CitySim","CitySim2025","2025","100+","graph_based","L3","CitySim exposes districts, place functions, and urban movement in a structured city environment, but the current evidence supports a graph- or place-level interface rather than direct geometry.","emergent_social_structure","mobility; cooperation; role_differentiation; norm_formation","observed_effect","explicit","mixed","none","assets/survey_paper/pdfs/phase1_core/13_HC15_CitySim.pdf","local_pdf_partial_review"
"anchor_core","stable_anchor","Core","R3-01","MineLand: Simulating Large-Scale Multi-Agent Interactions with Limited Multimodal Senses and Physical Needs","MineLand","MineLand2024","2024","100+","3D_engine","L5","MineLand exposes bounded first-person RGB, sound, touch, and distance-limited communication in a Minecraft world, so the agent-facing interface reaches embodied geometry rather than only textual layout summaries.","mixed","dialogue; cooperation; conflict; mobility","observed_effect","explicit","mixed","none","assets/survey_paper/pdfs/phase1_round3_candidates/R3-01_MineLand_2024.pdf","local_pdf_round3_fulltext_review"
"anchor_core","stable_anchor","Core","R3-02","GATSim: Urban Mobility Simulation with Generative Agents","GATSim","GATSim2026","2026","100+","graph_based","L3","GATSim uses a transport network, spatial-temporal memory, and node-level activity planning, but the LLM-facing structure remains graph- and place-level rather than direct geometry.","emergent_social_structure","mobility; other","observed_effect","explicit","mixed","none","assets/survey_paper/pdfs/phase1_round3_candidates/R3-02_GATSim_2025.pdf","local_pdf_round3_fulltext_review"
"anchor_core","stable_anchor","Core","R3-04","An LLM-Driven Multi-Agent Simulation Framework for Coupled Epidemic-Economic Dynamics","LLM Epidemic-Economic Dynamics","LLMEpidemicEconomic2026","2026","100+","2D_grid","L3","The abstract city is a rectangular 2D grid with local contact distance and role-specific constraints, but the agent interface is still prompt-mediated state summaries rather than direct geometry streams.","emergent_social_structure","mobility; other","observed_effect","explicit","mixed","none","assets/survey_paper/pdfs/phase1_round3_candidates/R3-04_LLM_Epidemic_Economic_Dynamics_2026.fulltext.md","local_markdown_round3_fulltext_review"
"anchor_core","stable_anchor","Core","BK01","AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society","AgentSociety","Piao2025_AgentSociety","2025","100+","graph_based","L3","Agent memories and environment feedback now clearly include location-bearing state, but the extracted evidence still supports only a conservative place- and movement-level representation.","emergent_social_structure","cooperation; conflict; mobility; norm_formation; other","designed_affordance_only","implicit","mixed","none","assets/survey_paper/pdfs/phase1_core/07_AgentSociety_Piao2025.pdf","local_pdf_ocr_partial_review"
"bridge_core","promote_now","core","HC01","TravelAgent: Generative agents in the built environment","HC01","HC01","","1","3D_engine","L5","Full-text adjudication confirms first-person visual observations, depth, collision, discovery-map, compass, and spatial-memory inputs; current experiments remain single-agent navigation, so bridge only.","local_action","mobility; other","observed_effect","explicit","mixed","none","assets/survey_paper/pdfs/phase1_core/00_HC01_TravelAgent_Noyman2025.pdf","local_pdf_archived"
"bridge_core","promote_now","core","HC11","Exploring Large Language Model-Driven Agents for Environment-Aware Spatial Interactions and Conversations in Virtual Reality Role-Play Scenarios","HC11","HC11","","1_or_small_group","3D_engine","L2","Primary-source/abstract review supports text-prompt schema over VR spots, objects, characters, and communications in five role-play scenarios with 14 participants; bridge because it is human-AI spatial interaction rather than population simulation.","interaction","dialogue; other","designed_affordance_only","implicit","human_eval","none","","missing_pdf"
"bridge_core","promote_now","core","BK02","When LLMs Recognize Your Space: Research on Experiences with Spatially Aware LLM Agents","BK02","BK02","","1","text-only","L2","PubMed/abstract evidence supports three spatial-awareness conditions in counseling conversations and observed differences in copresence, trust, alliance, and self-disclosure; bridge because it is human-agent interaction rather than population simulation.","interaction","dialogue; other","observed_effect","explicit","human_eval","none","","local_note_reviewed"
"bridge_core","promote_now","core","BK03","A Context-Aware Onboarding Agent for Metaverse Powered by Large Language Models","BK03","BK03","","1","3D_engine","L2","Primary-source abstract and metadata support metaverse onboarding with short-term spatiotemporal context, long-term exploration context, ablation study, and user study; bridge because the system is a single-agent onboarding assistant.","interaction","dialogue; mobility; other","observed_effect","explicit","human_eval","none","","missing_pdf"
"bridge_core","promote_now","core","BK04","A Voice-Controlled Dialogue System for NPC Interaction using Large Language Models","BK04","BK04","","1","3D_engine","L2","Downloaded PDF and ACL source confirm Unity/NPC interaction; bridge because it is a single user-to-NPC interface.","interaction","dialogue; other","designed_affordance_only","implicit","none","none","assets/survey_paper/pdfs/phase1_adjacent/07_BK04_NPC_Interaction.pdf","local_pdf_archived"
"bridge_core","promote_now","core","BK05","Mixed-Initiative Dialogue Management for Human-Virtual Agents Interaction in Forum Theatre Inspired Training","BK05","BK05","","2-10","3D_engine","L2","Downloaded PDF confirms a VR training tool with virtual agents and reflection/replay; bridge because it is training interaction rather than social simulation.","interaction","dialogue; cooperation; other","designed_affordance_only","implicit","mixed","none","assets/survey_paper/pdfs/phase1_adjacent/08_BK05_Forum_Theatre_Training.pdf","local_pdf_archived"
"bridge_core","promote_now","core","BK06","TongSIM: A General Platform for Simulating Intelligent Machines","BK06","BK06","","2-10","3D_engine","L5","PDF/source review confirms high-fidelity embodied platform, indoor scenes, outdoor town, multi-agent social simulation affordances, and human-AI collaboration; bridge because it is platform-like.","mixed","dialogue; cooperation; mobility; other","designed_affordance_only","explicit","mixed","none","assets/survey_paper/pdfs/phase1_adjacent/09_BK06_TongSIM.pdf","local_pdf_archived"
"bridge_core","promote_now","core","BK07","S^3: Social-network Simulation System with Large Language Model-Empowered Agents","BK07","BK07","","100+","graph_based","L3","Full-text recheck supports directed follow graph, followee message exposure, user profiles, memory, and propagation, but no agent-facing global centrality/community summary; under widened digital-environment rule it enters bridge_core as L3.","emergent_social_structure","dialogue; cooperation; conflict; norm_formation; other","observed_effect","explicit","auto_metric","none","assets/survey_paper/pdfs/phase1_adjacent/10_BK07_S3_Social_Network_Simulation.pdf","local_pdf_archived"
"bridge_core","promote_now","core","BK08","Unveiling the collective behaviors of large language model-based autonomous agents in an online community: A social network analysis perspective","BK08","BK08","","100+","graph_based","L3","Primary-source review confirms Chirper online community, profiles, posts, follows, replies, histories, and observed network formation; SNA metrics are researcher-side results rather than agent-facing global structure, so code as L3.","emergent_social_structure","dialogue; cooperation; conflict; norm_formation; other","observed_effect","explicit","auto_metric","none","https://www.sciencedirect.com/science/article/pii/S2543925125000154","primary_page_reviewed"
"bridge_core","promote_now","core","R3-03","Cognitive Agents in Urban Mobility: Integrating LLM Reasoning into Multi-Agent Simulations","R3-03","R3-03","","100+","graph_based","L3","Full-text sanity check confirms 320 cognitive agents in a geospatial transport simulation with disruption adaptation; bridge because direct interpersonal interaction is weak.","mixed","mobility; other","observed_effect","explicit","mixed","none","assets/survey_paper/pdfs/phase1_round3_candidates/R3-03_Cognitive_Agents_Urban_Mobility_2025.fulltext.md","local_markdown_fulltext_archived"
"bridge_core","promote_now","core","R3-05","Building Cooperative Embodied Agents Modularly with Large Language Models (CoELA)","R3-05","R3-05","","2-10","3D_engine","L5","Strong embodied multi-agent cooperation evidence with raw sensory observations and costly communication; bridge because it is primarily a cooperation benchmark.","interaction","cooperation; mobility; other","observed_effect","explicit","auto_metric","none","","not_acquired_in_round3"
"bridge_core","promote_now","core","L4R-01","Network formation and dynamics among multi-LLMs","Network formation among multi-LLMs","Papachristou2025_NetworkFormation","2025","10-100","graph_based","L4","Agents receive node degrees, neighbors, common connections, community labels, and in some settings full network/neighborhood structure as JSON decision input; this is agent-facing global abstract network structure in a widened digital-social bridge environment.","emergent_social_structure","cooperation; other","observed_effect","explicit","auto_metric","none","https://academic.oup.com/pnasnexus/article/doi/10.1093/pnasnexus/pgaf317/8361967","targeted_l4_robustness_search"
