group,record_id,title,prior_status,prior_tier_or_reason,recheck_decision,updated_tier,change_flag,recheck_reason,next_action
candidate_pool,doi-75bcdefae5,Identifying urban spatial structure and urban vibrancy in highly dense cities using georeferenced social media data,assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms urban analytics and social-media traces but not a target agentic system for this review.,leave_excluded
candidate_pool,doi-8b7a8f46d7,Language within your reach: Near-far perceptual space and spatial demonstratives,assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms spatial linguistics rather than survey-target agentic or bridge evidence.,leave_excluded
candidate_pool,doi-8e1eabbb89,Spatial indicators for the assessment of ecosystem services: Providing benefiting and connecting areas and landscape metrics,assistant_prescreen_exclude,E3 / unrelated_domain,confirm_exclude,excluded,no_change,Abstract confirms ecology/landscape metrics scope outside the review target.,leave_excluded
candidate_pool,doi-8fb8dab107,Urban planning in the age of large language models: Assessing OpenAI o1's performance and capabilities across 556 tasks,assistant_prescreen_exclude,E1 / llm_no_space_environment,confirm_exclude,excluded,no_change,Abstract confirms LLM capability evaluation for planning tasks rather than a spatial-social agent environment or simulation system.,leave_excluded
candidate_pool,doi-9bb753fd7d,FSL,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Record remains too underspecified even after proxy completion and does not justify reopening screening.,leave_excluded
candidate_pool,doi-a069cff804,A review of the formation of tectonic veins and their microstructures,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Abstract confirms unrelated geology review scope.,leave_excluded
candidate_pool,doi-a10b8d3205,STELLM: Spatio-temporal enhanced pre-trained large language model for wind speed forecasting,assistant_prescreen_exclude,E1 / llm_no_space_environment,confirm_exclude,excluded,no_change,Abstract confirms spatio-temporal forecasting rather than a social/spatial agent environment.,leave_excluded
candidate_pool,doi-b3228ad903,Returning the tables: language affects spatial reasoning,assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms spatial-language cognition rather than a target system paper.,leave_excluded
candidate_pool,doi-b4c2b4c341,Genetic Algorithms and Machine Learning,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Abstract confirms generic ML methods background unrelated to the survey target.,leave_excluded
candidate_pool,doi-b81e8ffc23,The role of spatial configuration in moderating the relationship between social sustainability and urban density,assistant_prescreen_exclude,E2 / space_without_target_behavior,confirm_exclude,excluded,no_change,Abstract confirms built-environment/social sustainability relevance but no LLM-agent system and no need to reopen corpus scope.,leave_excluded
candidate_pool,doi-f7c4234590,Learning to express motion events in English and Korean: The influence of language-specific lexicalization patterns,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Abstract confirms language-and-motion cognition rather than a target survey system.,leave_excluded
candidate_pool,doi-f992ad7471,MPCCT: Multimodal vision-language learning paradigm with context-based compact Transformer,assistant_prescreen_exclude,E3 / fallback_exclude,confirm_exclude,excluded,no_change,Abstract confirms generic multimodal model work rather than a spatial-social agent system.,leave_excluded
fresh_l4,FT-L4-078,LLMs and generative agent-based models for complex systems research,abstract_missing_exclude,excluded,upgrade_to_background_or_adjacent,adjacent_or_foundational,upgrade,Abstract confirms methodological background relevance for LLM-plus-generative-ABM research but not a primary target system.,keep_as_background_or_low_priority
fresh_l4,FT-L4-111,Retrieval-Augmented Generation (RAG),abstract_missing_exclude,excluded,confirm_exclude,excluded,no_change,Abstract confirms a general RAG methods paper rather than a spatial-social LLM-agent system.,exclude
