paper_id,title,year,venue,source_families,assistant_status,assistant_corpus_tier,assistant_exclusion_reason,assistant_confidence,assistant_priority,assistant_rule,assistant_rationale,final_status,corpus_tier,exclusion_reason,notes
doi-62d0dafd84,User Behavior Simulation with Large Language Model-based Agents,2024,ACM Transactions on Information Systems,phase1_d_openalex_2026-04-13,core,core,,high,high,known_core_title,Explicitly matches a known LLM multi-agent social simulation/system title.,core,core,,[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title.
doi-57ebc48cb0,Advancing Spatial Reasoning in Large Language Models: An In-Depth Evaluation and Enhancement Using the StepGame Benchmark,2024,Proceedings of the AAAI Conference on Artificial Intelligence,phase1_c_openalex_2026-04-13; phase1_search_seed_2026-04-13,adjacent,adjacent,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,adjacent,adjacent,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
url-387f659dfe,AgentSims: An Open-Source Sandbox for Large Language Model Evaluation,2023,arXiv,phase1_search_seed_2026-04-13,adjacent,adjacent,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,adjacent,adjacent,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
url-d4514a1c73,Language Models Represent Space and Time,2023,ICLR 2024,phase1_search_seed_2026-04-13,adjacent,adjacent,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,adjacent,adjacent,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
url-228c328750,Reframing Spatial Reasoning Evaluation in Language Models: A Real-World Simulation Benchmark for Qualitative Reasoning,2024,IJCAI 2024,phase1_search_seed_2026-04-13,adjacent,adjacent,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,adjacent,adjacent,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
url-45f998d899,SARAH: Spatially Aware Real-time Agentic Humans,2026,arXiv,phase1_search_seed_2026-04-13,adjacent,adjacent,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,adjacent,adjacent,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-10ec151ad7,SpatialVLM: Endowing Vision-Language Models with Spatial Reasoning Capabilities,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),phase1_c_openalex_2026-04-13; phase1_search_seed_2026-04-13,adjacent,adjacent,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,adjacent,adjacent,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-47f7d49f88,When LLMs Recognize Your Space: Research on Experiences with Spatially Aware LLM Agents,2025,IEEE Transactions on Visualization and Computer Graphics,phase1_c_openalex_2026-04-13; phase1_search_seed_2026-04-13,adjacent,adjacent,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,adjacent,adjacent,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-82213d9f17,A LLM-informed multi-agent AI system for drone-based visual inspection for infrastructure,2025,Advanced Engineering Informatics,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-f6fad7674a,A survey on large language model based autonomous agents,2024,Frontiers of Computer Science,phase1_b_openalex_2026-04-13; phase1_d_openalex_2026-04-13,adjacent,adjacent,,medium,medium,survey_adjacent,"Useful survey/review background, but not a Core evidence-map system.",adjacent,adjacent,,"[assistant_prescreen] Useful survey/review background, but not a Core evidence-map system."
doi-11dfd5cd4d,A Survey on Large Language Model-Based Game Agents,2024,arXiv (Cornell University),phase1_d_openalex_2026-04-13,adjacent,adjacent,,medium,medium,survey_adjacent,"Useful survey/review background, but not a Core evidence-map system.",adjacent,adjacent,,"[assistant_prescreen] Useful survey/review background, but not a Core evidence-map system."
doi-05c5054637,Advancing Object Goal Navigation Through LLM-enhanced Object Affinities Transfer,2024,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-2fd2eb0db3,Autonomous GIS: the next-generation AI-powered GIS,2023,International Journal of Digital Earth,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-83a06dd2d9,Can Large Language Models be Good Path Planners? A Benchmark and Investigation on Spatial-temporal Reasoning,2023,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-eb4ec4fce2,Can Large Language Models Create New Knowledge for Spatial Reasoning Tasks?,2024,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-9cbb83c458,Distortions in Judged Spatial Relations in Large Language Models,2024,The Professional Geographer,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-6aecd7a45b,Euclid's Gift: Enhancing Spatial Perception and Reasoning in Vision-Language Models via Geometric Surrogate Tasks,2025,ArXiv.org,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-95f507537a,Exploring and Improving the Spatial Reasoning Abilities of Large Language Models,2023,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-bee878a1cc,E²BA: Environment Exploration and Backtracking Agent for Visual Language Object Navigation,2025,IEEE Transactions on Circuits and Systems for Video Technology,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-85819e6ba7,Foundation models for geospatial reasoning: assessing the capabilities of large language models in understanding geometries and topological spatial relations,2025,International Journal of Geographical Information Systems,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-72969017c3,From Play to Understanding: Large Language Models in Logic and Spatial Reasoning Coloring Activities for Children,2024,AI,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-5138041a0b,GeoGPT: An assistant for understanding and processing geospatial tasks,2024,International Journal of Applied Earth Observation and Geoinformation,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-096a26dee1,GeoLLM: Extracting Geospatial Knowledge from Large Language Models,2023,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-3709dcd0c5,"Good at captioning, bad at counting: Benchmarking GPT-4V on Earth observation data",2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-efa46893e6,GRASP: A Grid-Based Benchmark for Evaluating Commonsense Spatial Reasoning,2024,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-a77f24c1a0,Integrating Large Language Models and Qualitative Spatial Reasoning,2024,Big Data,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-a61cfb7502,Is A Picture Worth A Thousand Words? Delving Into Spatial Reasoning for Vision Language Models,2024,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-3ebc371463,Large Language Models and 3D Vision for Intelligent Robotic Perception and Autonomy,2025,Sensors,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-326f93b537,Large language models empowered agent-based modeling and simulation: a survey and perspectives,2024,Humanities and Social Sciences Communications,phase1_b_openalex_2026-04-13; phase1_d_openalex_2026-04-13,adjacent,adjacent,,medium,medium,survey_adjacent,"Useful survey/review background, but not a Core evidence-map system.",adjacent,adjacent,,"[assistant_prescreen] Useful survey/review background, but not a Core evidence-map system."
doi-c1d24b22b6,Large Language Models: Testing Their Capabilities to Understand and Explain Spatial Concepts (Short Paper),2023,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-f9bf4ca031,Methods That Support the Validation of Agent-Based Models: An Overview and Discussion,2024,Journal of Artificial Societies and Social Simulation,phase1_d_openalex_2026-04-13,adjacent,adjacent,,medium,medium,survey_adjacent,"Useful survey/review background, but not a Core evidence-map system.",adjacent,adjacent,,"[assistant_prescreen] Useful survey/review background, but not a Core evidence-map system."
doi-270050e379,Mind's Eye of LLMs: Visualization-of-Thought Elicits Spatial Reasoning in Large Language Models,2024,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-489c92d57e,"On The Planning Abilities of OpenAI's o1 Models: Feasibility, Optimality, and Generalizability",2024,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-0f7638feee,PLUGH: A Benchmark for Spatial Understanding and Reasoning in Large Language Models,2024,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-4bcaefa8e2,Reasoning about the Unseen for Efficient Outdoor Object Navigation,2023,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-d5d69307f8,Reasoning Paths with Reference Objects Elicit Quantitative Spatial Reasoning in Large Vision-Language Models,2024,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-7c1831514b,Reinforcing Spatial Reasoning in Vision-Language Models with Interwoven Thinking and Visual Drawing,2025,ArXiv.org,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-e234f3150a,SpaRE: Enhancing Spatial Reasoning in Vision-Language Models with Synthetic Data,2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-77a51ea356,SpatialPIN: Enhancing Spatial Reasoning Capabilities of Vision-Language Models through Prompting and Interacting 3D Priors,2024,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-a91d7ab113,SpatialRGPT: Grounded Spatial Reasoning in Vision Language Models,2024,arXiv (Cornell University),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-f4b98490d2,The Rise and Potential of Large Language Model Based Agents: A Survey,2023,arXiv (Cornell University),phase1_b_openalex_2026-04-13; phase1_c_openalex_2026-04-13; phase1_d_openalex_2026-04-13,adjacent,adjacent,,medium,medium,survey_adjacent,"Useful survey/review background, but not a Core evidence-map system.",adjacent,adjacent,,"[assistant_prescreen] Useful survey/review background, but not a Core evidence-map system."
doi-6dda4392b2,Validation is the central challenge for generative social simulation: a critical review of LLMs in agent-based modeling,2025,Artificial Intelligence Review,phase1_d_openalex_2026-04-13,adjacent,adjacent,,medium,medium,survey_adjacent,"Useful survey/review background, but not a Core evidence-map system.",adjacent,adjacent,,"[assistant_prescreen] Useful survey/review background, but not a Core evidence-map system."
doi-deb9c28be6,VisionCube: 3D-Aware Vision-Language Model for Multi-Step Spatial Reasoning,2025,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-35a4b585d6,What’s “up” with vision-language models? Investigating their struggle with spatial reasoning,2023,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,phase1_c_openalex_2026-04-13,adjacent,adjacent,,medium,medium,llm_spatial_reasoning,Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.,adjacent,adjacent,,[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents.
doi-3041f84488,From Isovists to Visibility Graphs: A Methodology for the Analysis of Architectural Space,2001,Environment and Planning B Planning and Design,phase1_a_openalex_2026-04-13; phase1_e_openalex_2026-04-13; phase1_search_seed_2026-04-13,foundational,foundational,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,foundational,foundational,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
url-ba6ba06927,Integrating Space Syntax with Spatial Interaction: The Spatial Metrics Problem,2022,npj Urban Sustainability,phase1_search_seed_2026-04-13,foundational,foundational,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,foundational,foundational,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
url-d2459fb406,Space is the Machine: A Configurational Theory of Architecture,1996,Space Syntax,phase1_search_seed_2026-04-13,foundational,foundational,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,foundational,foundational,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
url-eb08f4e51d,Space Syntax Based Agent Simulation,2002,http://eprints.ucl.ac.uk/2027/1/penn.pdf,phase1_a_openalex_2026-04-13; phase1_search_seed_2026-04-13,foundational,foundational,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,foundational,foundational,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
url-8241d30b40,The Social Logic of Space,1984,Cambridge University Press,phase1_search_seed_2026-04-13,foundational,foundational,,high,high,seed_anchor,Matched the manually curated Phase 1 seed list.,foundational,foundational,,[assistant_prescreen] Matched the manually curated Phase 1 seed list.
doi-ac831f085f,"<b>Language and space.</b> Ed. By Paul Bloom, Mary A. Peterson, Lynn Nadel, and Merrill F. Garrett. Cambridge, MA &amp; London: MIT Press/Bradford, 1996. Pp. x, 597. $50.00.",1998,Language,phase1_e_openalex_2026-04-13,foundational,foundational,,medium,medium,spatial_cognition_anchor,Useful as foundational spatial cognition background rather than Core system evidence.,foundational,foundational,,[assistant_prescreen] Useful as foundational spatial cognition background rather than Core system evidence.
doi-618f7ef30e,Agent-based simulation of human movement shaped by the underlying street structure,2011,International Journal of Geographical Information Systems,phase1_a_openalex_2026-04-13,foundational,foundational,,medium,medium,space_syntax_bridge,"Useful as foundational evidence on spatial configuration, movement, or social interaction.",foundational,foundational,,"[assistant_prescreen] Useful as foundational evidence on spatial configuration, movement, or social interaction."
url-fc391a7039,Analysing open space offices,2006,,phase1_e_openalex_2026-04-13,foundational,foundational,,medium,medium,space_syntax_bridge,"Useful as foundational evidence on spatial configuration, movement, or social interaction.",foundational,foundational,,"[assistant_prescreen] Useful as foundational evidence on spatial configuration, movement, or social interaction."
doi-87fc71b457,"Analysis of Pedestrian Behaviors in Subway Station Using Agent-Based Model: Case of Gangnam Station, Seoul, Korea",2023,Buildings,phase1_a_openalex_2026-04-13,foundational,foundational,,medium,medium,space_syntax_bridge,"Useful as foundational evidence on spatial configuration, movement, or social interaction.",foundational,foundational,,"[assistant_prescreen] Useful as foundational evidence on spatial configuration, movement, or social interaction."
doi-a8a9e52fd1,Analyzing the Influence of Residents’ Sociocultural Reflections on the Spatial Configuration of Historical Persian Residential Architecture,2025,Sustainability,phase1_e_openalex_2026-04-13,foundational,foundational,,medium,medium,space_syntax_bridge,"Useful as foundational evidence on spatial configuration, movement, or social interaction.",foundational,foundational,,"[assistant_prescreen] Useful as foundational evidence on spatial configuration, movement, or social interaction."
url-289bf901b7,Assisted Agent-Based Simulations: Fusing non-player character movement with Space Syntax,2017,UCL Discovery (University College London),phase1_a_openalex_2026-04-13; phase1_search_seed_2026-04-13,foundational,foundational,,medium,medium,space_syntax_bridge,"Useful as foundational evidence on spatial configuration, movement, or social interaction.",foundational,foundational,,"[assistant_prescreen] Useful as foundational evidence on spatial configuration, movement, or social interaction."
doi-90f5fdfa6b,Building Problem Spaces for Deaf and Hard of Hearing Students’ Spatial Cognition in a Programming Language,2009,Lecture notes in computer science,phase1_e_openalex_2026-04-13,foundational,foundational,,medium,medium,spatial_cognition_anchor,Useful as foundational spatial cognition background rather than Core system evidence.,foundational,foundational,,[assistant_prescreen] Useful as foundational spatial cognition background rather than Core system evidence.
