experiment_id,block,scenario,intervention,model,memory,meetings_per_round,runs,seeds,rounds,turns,agents_total,current,stale,unknown,held_current_rate
m1/m1_gpt-5.4-mini,m1,repair_drive,connectivity,gpt-5.4-mini,ga,m=1,3,41;42;43,5,3,75,8,15,52,10.7
m1/m1_gpt-5.5,m1,repair_drive,connectivity,gpt-5.5,ga,m=1,3,41;42;43,5,3,75,12,35,28,16.0
m1/m3_gpt-5.4,m1,repair_drive,connectivity,gpt-5.4,ga,m=3,3,41;42;43,5,3,75,21,29,25,28.0
m1/m3_gpt-5.4-mini,m1,repair_drive,connectivity,gpt-5.4-mini,ga,m=3,3,41;42;43,5,3,75,16,13,46,21.3
m1/m3_gpt-5.5,m1,repair_drive,connectivity,gpt-5.5,ga,m=3,3,41;42;43,5,3,75,16,29,30,21.3
m2_memory/ga,m2_memory,repair_drive,memory,gpt-5.4-mini,ga,m=2,3,41;42;43,5,3,75,15,9,51,20.0
m2_memory/raw,m2_memory,repair_drive,memory,gpt-5.4-mini,raw,m=2,3,41;42;43,5,3,75,10,3,62,13.3
m2_memory/smga,m2_memory,repair_drive,memory,gpt-5.4-mini,smga,m=2,3,41;42;43,5,3,75,23,35,17,30.7
m2_memory/smga3g,m2_memory,repair_drive,memory,gpt-5.4-mini,smga3g,m=2,3,41;42;43,5,3,75,42,0,33,56.0
m3_verify/ga_m2,m3_verify,repair_drive,memory,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,21,8,96,16.8
m3_verify/ga_m3,m3_verify,repair_drive,memory,gpt-5.4-mini,ga,m=3,4,42;43;44;45,5,3,100,12,9,79,12.0
m3_verify/smga3g_m2,m3_verify,repair_drive,memory,gpt-5.4-mini,smga3g,m=2,5,41;42;43;44;45,5,3,125,30,13,82,24.0
m3_verify/smga3g_m3,m3_verify,repair_drive,memory,gpt-5.4-mini,smga3g,m=3,5,41;42;43;44;45,5,3,125,32,39,54,25.6
m4_rebroadcast/baseline,m4_rebroadcast,repair_drive,baseline,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,15,15,95,12.0
m4_rebroadcast/broadcast,m4_rebroadcast,repair_drive,broadcast,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,124,0,1,99.2
m4_rebroadcast/source,m4_rebroadcast,repair_drive,source,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,19,3,103,15.2
p1rec/r1_broadcast,p1rec,repair_drive,early_all_agent_broadcast,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,125,0,0,100.0
p1rec/r5_broadcast,p1rec,repair_drive,late_all_agent_broadcast,gpt-5.4-mini,ga,m=2,5,41;42;43;44;45,5,3,125,11,22,92,8.8
p3_power/m0_gpt54,p3_power,repair_drive,capability,gpt-5.4,ga,m=0,5,41;42;43;44;45,5,3,125,43,25,57,34.4
p3_power/m0_gpt55,p3_power,repair_drive,capability,gpt-5.5,ga,m=0,5,41;42;43;44;45,5,3,125,38,44,43,30.4
p3_power/m0_mini,p3_power,repair_drive,capability,gpt-5.4-mini,ga,m=0,8,41;42;43;44;45;46;47;48,5,3,200,37,33,130,18.5
p3_power/m1_mini_m1,p3_power,repair_drive,capability,gpt-5.4-mini,ga,m=1,8,41;42;43;44;45;46;47;48,5,3,200,39,30,131,19.5
p3_power/m1_mini_m3,p3_power,repair_drive,capability,gpt-5.4-mini,ga,m=1,8,41;42;43;44;45;46;47;48,5,3,200,28,17,155,14.0
p3b_conn54/m1,p3b_conn54,repair_drive,connectivity,gpt-5.4,ga,m=1,4,42;43;44;45,5,3,100,23,35,42,23.0
p3b_conn54/m3,p3b_conn54,repair_drive,connectivity,gpt-5.4,ga,m=3,3,43;44;45,5,3,75,20,13,42,26.7
