paper_id,title,year,venue,source_families,final_status,corpus_tier,exclusion_reason,notes
url-b217ee7110,A-MEM: Agentic Memory for LLM Agents,2025,Agent memory and cognitive architecture,paper_list_agent_memory_and_cognitive_architecture,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Memory module paper without spatial environment evidence.
url-2740fcb70c,Vector-Based Navigation Using Grid-Like Representations in Artificial Agents,2018,Agent memory and cognitive architecture,paper_list_agent_memory_and_cognitive_architecture,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-301a346a4a,"Place Cells, Grid Cells, and Memory",2015,Agent memory and cognitive architecture,paper_list_agent_memory_and_cognitive_architecture,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-58351ab942,A Non-Spatial Account of Place and Grid Cells Based on Clustering Models of Concept Learning,2019,Agent memory and cognitive architecture,paper_list_agent_memory_and_cognitive_architecture,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-626f111b28,GVGAI-LLM: Evaluating Large Language Model Agents with Infinite Games,2025,Evaluation methodology,paper_list_evaluation_methodology,excluded,excluded,E2,Seeded from local generated paper list for Phase 0 prescreening. Game benchmark emphasizes task performance rather than social behavior.
url-af60043c62,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,2023,Evaluation methodology,paper_list_evaluation_methodology,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Evaluation methodology paper without a spatial environment.
url-5b29ec5124,A Survey on LLM-as-a-Judge,2024,Evaluation methodology,paper_list_evaluation_methodology,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Evaluation survey without a spatial environment.
url-979cd4bf3f,Navigates Like Me: Understanding How People Evaluate Human-Like AI in Video Games,2023,Evaluation methodology,paper_list_evaluation_methodology,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-8f37d1c290,Turing's Test and Believable AI in Games,2006,Evaluation methodology,paper_list_evaluation_methodology,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-ff1df63250,Assessing Believability,2013,Evaluation methodology,paper_list_evaluation_methodology,foundational,foundational,,Seeded from local generated paper list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
url-122afe6228,Network Formation and Dynamics Among Multi-LLMs,2025,Evaluation methodology,paper_list_evaluation_methodology,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Network dynamics study without a spatial environment.
url-3795ea6e65,Unveiling the Collective Behaviors of Large Language Model-Based Autonomous Agents in an Online Community,2025,Evaluation methodology,paper_list_evaluation_methodology,excluded,excluded,E1,Seeded from local generated paper list for Phase 0 prescreening. Online community study without a navigable spatial environment.
the-social-logic-of-space-1984,The Social Logic of Space*,1984,Space Syntax 经典文献,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
natural-movement-or-configuration-and-attraction-in-urban-pedestrian-movement-1993,"Natural movement: or, configuration and attraction in urban pedestrian movement",1993,Space Syntax 经典文献,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
crime-and-urban-layout-the-need-for-evidence-2000,Crime and urban layout: The need for evidence,2000,Space Syntax 经典文献,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
decoding-homes-and-houses-1998,Decoding Homes and Houses*,1998,Space Syntax 经典文献,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
depthmap-a-program-to-perform-visibility-graph-analysis-2001,Depthmap: A program to perform visibility graph analysis,2001,Space Syntax 经典文献,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
space-syntax-a-brief-introduction-to-its-logic-and-analytical-techniques-2003,Space Syntax: A brief introduction to its logic and analytical techniques,2003,Space Syntax 经典文献,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
the-mathematics-of-spatial-configuration-revisiting-revising-and-critiquing-justified-plan-graph-theory-2011,"The mathematics of spatial configuration: Revisiting, revising and critiquing justified plan graph theory",2011,Space Syntax 经典文献,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
urban-network-analysis-a-new-toolbox-for-arcgis-2012,Urban Network Analysis: A new toolbox for ArcGIS,2012,Space Syntax 计算与应用,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
is-spatial-intelligibility-critical-to-the-design-of-large-scale-virtual-environments-international-journal-of-design-computing-2002,Is spatial intelligibility critical to the design of large-scale virtual environments?* International Journal of Design Computing,2002,Space Syntax 计算与应用,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational by section-level Phase 0 rule.
space-syntax-for-modeling-building-evacuation-2010,Space Syntax for modeling building evacuation,2010,Space Syntax 计算与应用,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
the-new-science-of-cities-2013,The New Science of Cities*,2013,Space Syntax 计算与应用,background_refs_space_syntax,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
generative-agents-interactive-simulacra-of-human-behavior-2023,Generative agents: Interactive simulacra of human behavior,2023,LLM Agent 架构,background_refs_llm_agent,core,core,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
voyager-an-open-ended-embodied-agent-with-large-language-models-2023,Voyager: An open-ended embodied agent with large language models,2023,LLM Agent 架构,background_refs_llm_agent,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
metagpt-meta-programming-for-a-multi-agent-collaborative-framework-2024,MetaGPT: Meta programming for a multi-agent collaborative framework,2024,LLM Agent 架构,background_refs_llm_agent,excluded,excluded,E1,Seeded from local background survey reference list for Phase 0 prescreening. Software collaboration framework without a spatial environment.
agentbench-evaluating-llms-as-agents-2024,AgentBench: Evaluating LLMs as agents,2024,LLM Agent 架构,background_refs_llm_agent,excluded,excluded,E1,Seeded from local background survey reference list for Phase 0 prescreening. Agent benchmark without a stable spatial environment.
toolformer-language-models-can-teach-themselves-to-use-tools-2023,Toolformer: Language models can teach themselves to use tools,2023,LLM Agent 架构,background_refs_llm_agent,excluded,excluded,E1,Seeded from local background survey reference list for Phase 0 prescreening. Tool-use model paper without a spatial environment.
hugginggpt-solving-ai-tasks-with-chatgpt-and-its-friends-in-hugging-face-2023,HuggingGPT: Solving AI tasks with ChatGPT and its friends in Hugging Face,2023,LLM Agent 架构,background_refs_llm_agent,excluded,excluded,E1,Seeded from local background survey reference list for Phase 0 prescreening. Task orchestration framework without a spatial environment.
chain-of-thought-prompting-elicits-reasoning-in-large-language-models-2022,Chain-of-thought prompting elicits reasoning in large language models,2022,LLM 推理与空间能力,background_refs_llm,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
react-synergizing-reasoning-and-acting-in-language-models-2023,ReAct: Synergizing reasoning and acting in language models,2023,LLM 推理与空间能力,background_refs_llm,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
tree-of-thoughts-deliberate-problem-solving-with-large-language-models-2024,Tree of thoughts: Deliberate problem solving with large language models,2024,LLM 推理与空间能力,background_refs_llm,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
spartqa-a-textual-question-answering-benchmark-for-spatial-reasoning-2021,SpartQA: A textual question answering benchmark for spatial reasoning,2021,LLM 推理与空间能力,background_refs_llm,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
stepgame-a-new-benchmark-for-robust-multi-hop-spatial-reasoning-in-texts-2022,StepGame: A new benchmark for robust multi-hop spatial reasoning in texts,2022,LLM 推理与空间能力,background_refs_llm,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
language-models-represent-space-and-time-2024,Language models represent space and time,2024,LLM 推理与空间能力,background_refs_llm,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
generative-agent-based-modeling-with-actions-grounded-in-physical-social-or-digital-space-using-concordia-2023,"Generative agent-based modeling with actions grounded in physical, social, or digital space using Concordia",2023,多智能体社会模拟,background_refs_,core,core,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as core corpus during Phase 0 prescreen.
agentsims-an-open-source-sandbox-for-large-language-model-evaluation-2024,AgentSims: An open-source sandbox for large language model evaluation,2024,多智能体社会模拟,background_refs_,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
large-language-model-empowered-agents-for-simulating-macroeconomic-activities-2024,Large language model-empowered agents for simulating macroeconomic activities,2024,多智能体社会模拟,background_refs_,excluded,excluded,E1,Seeded from local background survey reference list for Phase 0 prescreening. Macroeconomic simulation without a navigable spatial environment.
out-of-one-many-using-language-models-to-simulate-human-samples-2023,"Out of one, many: Using language models to simulate human samples",2023,多智能体社会模拟,background_refs_,excluded,excluded,E1,Seeded from local background survey reference list for Phase 0 prescreening. Population sampling study without a spatial environment.
playing-repeated-games-with-large-language-models-2023,Playing repeated games with large language models,2023,多智能体社会模拟,background_refs_,excluded,excluded,E1,Seeded from local background survey reference list for Phase 0 prescreening. Repeated-game study without a spatial environment.
cognitive-maps-in-rats-and-men-1948,Cognitive maps in rats and men,1948,空间认知,background_refs_,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
the-hippocampus-as-a-cognitive-map-1978,The Hippocampus as a Cognitive Map*,1978,空间认知,background_refs_,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
space-in-language-and-cognition-2003,Space in Language and Cognition*,2003,空间认知,background_refs_,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
what-and-where-in-spatial-language-and-spatial-cognition-1993,"""What"" and ""where"" in spatial language and spatial cognition",1993,空间认知,background_refs_,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
habitat-a-platform-for-embodied-ai-research-2019,Habitat: A platform for embodied AI research,2019,Embodied AI 与导航,background_refs_embodied_ai,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
alfred-a-benchmark-for-interpreting-grounded-instructions-for-everyday-tasks-2020,ALFRED: A benchmark for interpreting grounded instructions for everyday tasks,2020,Embodied AI 与导航,background_refs_embodied_ai,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
beyond-the-nav-graph-vision-and-language-navigation-in-continuous-environments-2020,Beyond the nav-graph: Vision-and-language navigation in continuous environments,2020,Embodied AI 与导航,background_refs_embodied_ai,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
saynav-grounding-large-language-models-for-dynamic-planning-to-navigation-in-new-environments-2024,SayNav: Grounding large language models for dynamic planning to navigation in new environments,2024,Embodied AI 与导航,background_refs_embodied_ai,adjacent,adjacent,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as adjacent corpus during Phase 0 prescreen.
judging-llm-as-a-judge-with-mt-bench-and-chatbot-arena-2024,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,2024,评估方法,background_refs_,excluded,excluded,E1,Seeded from local background survey reference list for Phase 0 prescreening. Evaluation methodology paper without a spatial environment.
lost-in-the-middle-how-language-models-use-long-contexts-2024,Lost in the middle: How language models use long contexts,2024,评估方法,background_refs_,excluded,excluded,E1,Seeded from local background survey reference list for Phase 0 prescreening. Context-length paper without spatial or social simulation evidence.
dynamic-models-of-segregation-1971,Dynamic models of segregation,1971,ABM 经典,background_refs_abm,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
growing-artificial-societies-social-science-from-the-bottom-up-1996,Growing Artificial Societies: Social Science from the Bottom Up*,1996,ABM 经典,background_refs_abm,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
the-dissemination-of-culture-a-model-with-local-convergence-and-global-polarization-1997,The dissemination of culture: A model with local convergence and global polarization,1997,ABM 经典,background_refs_abm,foundational,foundational,,Seeded from local background survey reference list for Phase 0 prescreening. Tagged as foundational corpus during Phase 0 prescreen.
