"paper_id","title","year","venue","source_families","final_status","corpus_tier","exclusion_reason","notes","recheck_required","rechecked_status","rechecked_exclusion_reason","recheck_notes"
"doi-a0f7fbe05f","A Survey on Evaluation of Large Language Models","2023","arXiv (Cornell University)","phase1_b_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-8b271b9732","MIGRATION AS A MECHANISM TO PROMOTE COOPERATION","2008","Advances in Complex Systems","phase1_e_openalex_2026-04-13","excluded","","E2","[assistant_prescreen] Touches space/spatial topics but does not clearly fit Adjacent or Foundational target behavior scope.","yes","excluded","E2","二次复核维持排除：虽涉及空间/语言或相关任务，但不直接覆盖本文要求的社会行为或目标行为范围。"
"url-18fde204c7","Language, cognition, and space:the state of the art and new directions","2010","","phase1_e_openalex_2026-04-13","excluded","excluded","E2","[assistant_prescreen] Useful as foundational spatial cognition background rather than Core system evidence. | [abstract_rereview_r1] 广义 edited volume，当前超出本轮最小桥接集，先排除。","yes","excluded","E2","二次复核维持排除：虽涉及空间/语言或相关任务，但不直接覆盖本文要求的社会行为或目标行为范围。"
"doi-ecbeb30a22","Toward a mechanistic psychology of dialogue","2004","Behavioral and Brain Sciences","phase1_a_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-3c8d9f9ad5","Game-on: graph attention network based multimodal fusion for fake news detection","2024","Social Network Analysis and Mining","phase1_e_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-1985177461","ChatGPT for Robotics: Design Principles and Model Abilities","2024","IEEE Access","phase1_b_openalex_2026-04-13; phase1_d_openalex_2026-04-13","excluded","","E1","[assistant_prescreen] Mentions LLM/agents but does not clearly indicate a spatial environment relevant to this review.","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-6aa60d42b8","Tachikuma: Understading Complex Interactions with Multi-Character and Novel Objects by Large Language Models","2023","arXiv (Cornell University)","phase1_d_openalex_2026-04-13","excluded","","E1","[assistant_prescreen] Mentions LLM/agents but does not clearly indicate a spatial environment relevant to this review.","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-4a4159ff52","When large language models meet personalization: perspectives of challenges and opportunities","2024","World Wide Web","phase1_b_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-2adcd31560","Creative Use of OpenAI in Education: Case Studies from Game Development","2023","Multimodal Technologies and Interaction","phase1_d_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-f7c4234590","Learning to express motion events in English and Korean: The influence of language-specific lexicalization patterns","1991","Cognition","phase1_e_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-5919fe61b4","LLaVA-MR: Large Language-and-Vision Assistant for Video Moment Retrieval","2024","Qeios","phase1_c_openalex_2026-04-13","excluded","","E1","[assistant_prescreen] Mentions LLM/agents but does not clearly indicate a spatial environment relevant to this review.","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-e3751f02d5","Six views of embodied cognition","2002","Psychonomic Bulletin & Review","phase1_a_openalex_2026-04-13; phase1_e_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-d25c85d963","Modern Diagnostic Imaging Technique Applications and Risk Factors in the Medical Field: A Review","2022","BioMed Research International","phase1_b_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-6647eaa2f4","A Multitask, Multilingual, Multimodal Evaluation of ChatGPT on Reasoning, Hallucination, and Interactivity","2023","Proceedings of the 13th International Joint Conference on Natural Language Processing and the 3rd Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics (Volume 1: Long Papers)","phase1_c_openalex_2026-04-13","excluded","","E1","[assistant_prescreen] Mentions LLM/agents but does not clearly indicate a spatial environment relevant to this review.","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-c0592d3bcc","Metaverse marketing: How the metaverse will shape the future of consumer research and practice","2022","Psychology and Marketing","phase1_b_openalex_2026-04-13; phase1_d_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-c99e769a02","The debate over understanding in AI’s large language models","2023","Proceedings of the National Academy of Sciences","phase1_b_openalex_2026-04-13","excluded","","E1","[assistant_prescreen] Mentions LLM/agents but does not clearly indicate a spatial environment relevant to this review.","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-264074bf46","A Survey on Contrastive Self-Supervised Learning","2020","MDPI (MDPI AG)","phase1_c_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-92d5331db0","Psychologically-Valid Generative Agents: A Novel Approach to Agent-Based Modeling in Social Sciences","2024","Proceedings of the AAAI Symposium Series","phase1_d_openalex_2026-04-13","excluded","excluded","E1","[assistant_prescreen] Explicitly matches a known LLM multi-agent social simulation/system title. | [abstract_rereview_r1] 摘要是通用 cognitive/stance framework，没有明确空间环境，按 E1 排除。","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"url-1c2a0c5f9e","Advanced Database Systems","1997","","phase1_a_openalex_2026-04-13","excluded","","E2","[assistant_prescreen] Touches space/spatial topics but does not clearly fit Adjacent or Foundational target behavior scope.","yes","excluded","E2","二次复核维持排除：虽涉及空间/语言或相关任务，但不直接覆盖本文要求的社会行为或目标行为范围。"
"doi-8135ab7f3e","Simulating Public Administration Crisis: A Novel Generative Agent-Based Simulation System to Lower Technology Barriers in Social Science Research","2023","arXiv (Cornell University)","phase1_d_openalex_2026-04-13","excluded","excluded","E1","[assistant_prescreen] Looks like an LLM/generative-agent system paper about social simulation or behavior simulation. | [abstract_rereview_r1] 摘要描述虚拟政府与公共事件仿真，但未给出明确空间环境，按 E1 排除。","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-489c92d57e","On The Planning Abilities of OpenAI's o1 Models: Feasibility, Optimality, and Generalizability","2024","arXiv (Cornell University)","phase1_c_openalex_2026-04-13","excluded","excluded","E1","[assistant_prescreen] Relevant as an Adjacent paper on LLM spatial reasoning or spatially-aware agents. | [abstract_rereview_r1] 标题与摘要不显示空间目标，属于一般 planning 能力，不纳入本轮空间语料。","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-b6212bfe5a","Handbook of spatial cognition.","2012","American Psychological Association eBooks","phase1_e_openalex_2026-04-13","excluded","excluded","E2","[assistant_prescreen] Useful as foundational spatial cognition background rather than Core system evidence. | [abstract_rereview_r1] 通用 handbook 过宽，不适合作为本轮 foundational 主体。","yes","excluded","E2","二次复核维持排除：虽涉及空间/语言或相关任务，但不直接覆盖本文要求的社会行为或目标行为范围。"
"doi-f4118e0d04","AirVista: Empowering UAVs with 3D Spatial Reasoning Abilities Through a Multimodal Large Language Model Agent","2024","2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC)","phase1_c_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"url-c20d7f8ce4","Actors: A Model of Concurrent Computation in Distributed Systems","1986","DSpace@MIT (Massachusetts Institute of Technology)","phase1_a_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-4852254326","PANGeA: Procedural Artificial Narrative Using Generative AI for Turn-Based, Role-Playing Video Games","2024","Proceedings of the AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment","phase1_d_openalex_2026-04-13","excluded","","E1","[assistant_prescreen] Mentions LLM/agents but does not clearly indicate a spatial environment relevant to this review.","yes","excluded","E1","二次复核维持排除：当前材料仍不足以证明存在可识别空间环境，不纳入本综述空间语料。"
"doi-912856745d","‘What is space syntax not?’ Reflections on space syntax as sociospatial theory","2015","URBAN DESIGN International","phase1_e_openalex_2026-04-13","excluded","","E2","[assistant_prescreen] Touches space/spatial topics but does not clearly fit Adjacent or Foundational target behavior scope.","yes","excluded","E2","二次复核维持排除：虽涉及空间/语言或相关任务，但不直接覆盖本文要求的社会行为或目标行为范围。"
"doi-4d8236974a","City Induction: A Model for Formulating, Generating, and Evaluating Urban Designs","2012","Communications in computer and information science","phase1_a_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-c487579415","How Does ChatGPT Perform on the United States Medical Licensing Examination (USMLE)? The Implications of Large Language Models for Medical Education and Knowledge Assessment","2023","JMIR Medical Education","phase1_d_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-538ec83d86","Aspect-based Sentiment Classification with Aspect-specific Graph Convolutional Networks","2019","Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP)","phase1_a_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-3a94d33eab","Setting the Record Straighter on Shadow Banning","2020","arXiv (Cornell University)","phase1_e_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-3eb5fc3c85","Findings of the Association for Computational Linguistics: EMNLP 2023","2023","","phase1_c_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Does not appear to fit Core, Adjacent, or Foundational corpus definitions.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
"doi-efdf2436d9","Generative agent‐based modeling: an introduction and tutorial","2024","System Dynamics Review","phase1_d_openalex_2026-04-13","excluded","","E3","[assistant_prescreen] Appears outside LLM-agent scope and outside the foundational spatial theory bridge.","yes","excluded","E3","二次复核维持排除：主题不属于 LLM agent 语料，也不构成本文需要的 foundational spatial theory bridge。"
