scenario_id,agent_type,judge_plan_plausibility,judge_rationale_alignment,judge_urban_common_sense,trace_feasibility,judge_plausibility_feasibility_gap,goal_completion,impossible_trace_rate,main_issue,brief_reason
commute_disruption,api_llm_reactive_replanner,0.92,0.96,0.95,1.0,0.0,1.0,0.0,minor route underspecification,"The agent sensibly detours around the disrupted hub, reaches the office before 09:00, and the stated reasons match the actions well."
conflicting_social_obligation,utility_planner,0.78,0.9,0.84,1.0,0.0,1.0,0.0,slight timing mismatch,"Aria completes the required work block and sends a polite, honest reply, but the message loosely suggests availability after the deadline without explicitly resolving Ben’s 18:00 invite."
conflicting_social_obligation,api_llm_direct_actor,0.78,0.93,0.82,1.0,0.0,1.0,0.0,overshoots episode window,"Aria’s response is socially appropriate and the coworking work block is sensible, but the trace extends past the available episode time with redundant dwell."
conflicting_social_obligation,api_llm_plan_then_act,0.98,0.99,0.97,1.0,0.0,1.0,0.0,none,"Aria finishes the required coworking block, then sends a polite, specific refusal to Ben without overcommitting, which fits the scenario well."
conflicting_social_obligation,api_llm_reactive_replanner,0.98,0.99,0.98,1.0,0.0,1.0,0.0,none,"Aria stays at coworking to finish the urgent 45-minute block, then sends a polite, specific decline that avoids overcommitting, which fits the scenario well."
lunch_meeting_time_pressure,utility_planner,0.84,0.93,0.9,1.0,0.0,1.0,0.0,minor timing simplification,"Aria’s route to the closer cafe and brief wait is a normal, punctual lunch-meeting behavior that fits the time pressure and budget, though it glosses over whether Ben actually arrives by 12:25."
lunch_meeting_time_pressure,api_llm_direct_actor,0.82,0.9,0.77,1.0,0.0,1.0,0.0,overly passive waiting,"Aria’s choice to go straight to the quieter cafe and message Ben is sensible under time pressure, but the trace becomes repetitive with multiple wait-and-message loops instead of resolving the meetup."
lunch_meeting_time_pressure,api_llm_plan_then_act,0.84,0.88,0.86,1.0,0.0,0.55,0.0,late arrival window,"Aria’s choice to go to the quieter cafe fits the persona and time pressure, but the trace arrives at 12:21 and then idles through the meeting window instead of coordinating a meeting with Ben on time."
lunch_meeting_time_pressure,api_llm_reactive_replanner,0.72,0.83,0.78,1.0,0.0,1.0,0.0,unverified co-presence,"Aria’s sequence is broadly normal and matches the quiet, punctual lunch intent, but it assumes the meeting is satisfied without any actual confirmation that Ben arrived."
memory_dependent_place_choice,utility_planner,0.88,0.96,0.93,1.0,0.0,1.0,0.0,none,"Aria’s move to the quiet cafe, brief wait, and stop at the meeting time fit the memory cue and ordinary morning work/meetup behavior."
memory_dependent_place_choice,api_llm_direct_actor,0.93,0.97,0.95,1.0,0.0,1.0,0.0,slight repetitive dwell loop,"Aria’s choice of the quiet café fits the memory cues and the intent to avoid a noisy place, though the repeated dwell actions are a bit mechanically repetitive."
memory_dependent_place_choice,api_llm_plan_then_act,0.94,0.97,0.96,1.0,0.0,1.0,0.0,none,"Aria’s sequence is coherent and ordinary: she goes to the remembered quiet cafe, works there, invites Ben, and stays put to meet quietly while avoiding the noisy option."
memory_dependent_place_choice,api_llm_reactive_replanner,0.9,0.96,0.88,1.0,0.0,1.0,0.0,slight over-dwelling,"Aria makes a sensible memory-based choice of the quiet cafe and stays there to work and be ready for Ben, with only minor unnecessary idle time."
unexpected_friend_encounter,utility_planner,0.28,0.34,0.22,1.0,0.0,0.75,0.0,ignored required errands,"The trace ends almost immediately after going to the pharmacy, with no grocery purchase, no brief interaction with Casey, and no realistic completion of the stated errands."
unexpected_friend_encounter,api_llm_direct_actor,0.08,0.14,0.06,0.75,0.0,0.45,0.25,repeated unbounded social loop,"Aria keeps restarting essentially the same interaction with Casey instead of briefly socializing once and then doing groceries and medicine, so the trace misses the errands and feels implausibly repetitive."
unexpected_friend_encounter,api_llm_plan_then_act,0.83,0.9,0.8,1.0,0.0,1.0,0.0,incomplete groceries,"The sequence is broadly plausible and the reasons match the actions, but it appears to stop after medicine without clearly completing the grocery errand despite starting at the market."
unexpected_friend_encounter,api_llm_reactive_replanner,0.58,0.43,0.62,1.0,0.0,1.0,0.0,missing grocery visit,"The trace has a plausible brief social detour and a reasonable pharmacy trip, but it never actually completes the grocery errand and then claims all conditions are done."
